             
x              y              v              
0.064      0.0164546  6.4964480e-03              
0.066      0.0164546  6.4964480e-03              
0.068      0.0164546  6.4964480e-03              
0.07      0.0164546  6.4964480e-03              
0.072      0.0164546  6.4964480e-03              
0.074      0.0164546  6.4964480e-03              
0.076      0.0164546  6.4964480e-03              
0.078      0.0164546  6.4964480e-03              
0.08      0.0164546  6.4964480e-03              
0.082      0.0164546  6.4964480e-03              
0.084      0.0164546  6.4964480e-03              
0.086      0.0164546  6.4964480e-03              
0.088      0.0164546  6.4964480e-03              
0.09      0.0164546  6.4964480e-03              
0.092      0.0164546  6.4000000e-03              
0.094      0.0164546  4.8000000e-03              
0.096      0.0164546  3.2000000e-03              
0.098      0.0164546  1.6000000e-03              
0.1      0.0164546  0.0000000e+00              
0.101      0.0164546  0.0000000e+00              
0.102      0.0164546  0.0000000e+00              
0      0.0178488  0.0000000e+00              
0.002      0.0178488  1.6000000e-03              
0.004      0.0178488  3.2000000e-03              
0.006      0.0178488  4.8000000e-03              
0.008      0.0178488  6.4000000e-03              
0.01      0.0178488  7.1230569e-03              
0.012      0.0178488  7.1230569e-03              
0.014      0.0178488  7.1230569e-03              
0.016      0.0178488  7.1230569e-03              
0.018      0.0178488  7.1230569e-03              
0.02      0.0178488  7.1230569e-03              
0.022      0.0178488  7.1230569e-03              
0.024      0.0178488  7.1230569e-03              
0.026      0.0178488  7.1230569e-03              
0.028      0.0178488  7.1230569e-03              
0.03      0.0178488  7.1230569e-03              
0.032      0.0178488  7.1230569e-03              
0.034      0.0178488  7.1230569e-03              
0.036      0.0178488  7.1230569e-03              
0.038      0.0178488  7.1230569e-03              
0.04      0.0178488  7.1230569e-03              
0.042      0.0178488  7.1230569e-03              
0.044      0.0178488  7.1230569e-03              
0.046      0.0178488  7.1230569e-03              
0.048      0.0178488  7.1230569e-03              
0.05      0.0178488  7.1230569e-03              
0.052      0.0178488  7.1230569e-03              
0.054      0.0178488  7.1230569e-03              
0.056      0.0178488  7.1230569e-03              
0.058      0.0178488  7.1230569e-03              
0.06      0.0178488  7.1230569e-03              
0.062      0.0178488  7.1230569e-03              
0.064      0.0178488  7.1230569e-03              
0.066      0.0178488  7.1230569e-03              
0.068      0.0178488  7.1230569e-03              
0.07      0.0178488  7.1230569e-03              
0.072      0.0178488  7.1230569e-03              
0.074      0.0178488  7.1230569e-03              
0.076      0.0178488  7.1230569e-03              
0.078      0.0178488  7.1230569e-03              
0.08      0.0178488  7.1230569e-03              
0.082      0.0178488  7.1230569e-03              
0.084      0.0178488  7.1230569e-03              
0.086      0.0178488  7.1230569e-03              
0.088      0.0178488  7.1230569e-03              
0.09      0.0178488  7.1230569e-03              
0.092      0.0178488  6.4000000e-03              
0.094      0.0178488  4.8000000e-03              
0.096      0.0178488  3.2000000e-03              
0.098      0.0178488  1.6000000e-03              
0.1      0.0178488  0.0000000e+00              
0.101      0.0178488  0.0000000e+00              
0.102      0.0178488  0.0000000e+00              
0     0.01925695  0.0000000e+00              
0.002     0.01925695  1.6000000e-03              
0.004     0.01925695  3.2000000e-03              
0.006     0.01925695  4.8000000e-03              
0.008     0.01925695  6.4000000e-03              
0.01     0.01925695  7.7559319e-03              
0.012     0.01925695  7.7559319e-03              
0.014     0.01925695  7.7559319e-03              
0.016     0.01925695  7.7559319e-03              
0.018     0.01925695  7.7559319e-03              
0.02     0.01925695  7.7559319e-03              
0.022     0.01925695  7.7559319e-03              
0.024     0.01925695  7.7559319e-03              
0.026     0.01925695  7.7559319e-03              
0.028     0.01925695  7.7559319e-03              
0.03     0.01925695  7.7559319e-03              
0.032     0.01925695  7.7559319e-03              
0.034     0.01925695  7.7559319e-03              
0.036     0.01925695  7.7559319e-03              
0.038     0.01925695  7.7559319e-03              
0.04     0.01925695  7.7559319e-03              
0.042     0.01925695  7.7559319e-03              
0.044     0.01925695  7.7559319e-03              
0.046     0.01925695  7.7559319e-03              
0.048     0.01925695  7.7559319e-03              
0.05     0.01925695  7.7559319e-03              
0.052     0.01925695  7.7559319e-03              
0.054     0.01925695  7.7559319e-03              
0.056     0.01925695  7.7559319e-03              
0.058     0.01925695  7.7559319e-03              
0.06     0.01925695  7.7559319e-03              
0.062     0.01925695  7.7559319e-03              
0.064     0.01925695  7.7559319e-03              
0.066     0.01925695  7.7559319e-03              
0.068     0.01925695  7.7559319e-03              
0.07     0.01925695  7.7559319e-03              
0.072     0.01925695  7.7559319e-03              
0.074     0.01925695  7.7559319e-03              
0.076     0.01925695  7.7559319e-03              
0.078     0.01925695  7.7559319e-03              
0.08     0.01925695  7.7559319e-03              
0.082     0.01925695  7.7559319e-03              
0.084     0.01925695  7.7559319e-03              
0.086     0.01925695  7.7559319e-03              
0.088     0.01925695  7.7559319e-03              
0.09     0.01925695  7.7559319e-03              
0.092     0.01925695  6.4000000e-03              
0.094     0.01925695  4.8000000e-03              
0.096     0.01925695  3.2000000e-03              
0.098     0.01925695  1.6000000e-03              
0.1     0.01925695  0.0000000e+00              
0.101     0.01925695  0.0000000e+00              
0.102     0.01925695  0.0000000e+00              
0     0.02067918  0.0000000e+00              
0.002     0.02067918  1.6000000e-03              
0.004     0.02067918  3.2000000e-03              
0.006     0.02067918  4.8000000e-03              
0.008     0.02067918  6.4000000e-03              
0.01     0.02067918  8.0000000e-03              
0.012     0.02067918  8.3951356e-03              
0.014     0.02067918  8.3951356e-03              
0.016     0.02067918  8.3951356e-03              
0.018     0.02067918  8.3951356e-03              
0.02     0.02067918  8.3951356e-03              
0.022     0.02067918  8.3951356e-03              
0.024     0.02067918  8.3951356e-03              
0.026     0.02067918  8.3951356e-03              
0.028     0.02067918  8.3951356e-03              
0.03     0.02067918  8.3951356e-03              
0.032     0.02067918  8.3951356e-03              
0.034     0.02067918  8.3951356e-03              
0.036     0.02067918  8.3951356e-03              
0.038     0.02067918  8.3951356e-03              
0.04     0.02067918  8.3951356e-03              
0.042     0.02067918  8.3951356e-03              
0.044     0.02067918  8.3951356e-03              
0.046     0.02067918  8.3951356e-03              
0.048     0.02067918  8.3951356e-03              
0.05     0.02067918  8.3951356e-03              
0.052     0.02067918  8.3951356e-03              
0.054     0.02067918  8.3951356e-03              
0.056     0.02067918  8.3951356e-03              
0.058     0.02067918  8.3951356e-03              
0.06     0.02067918  8.3951356e-03              
0.062     0.02067918  8.3951356e-03              
0.064     0.02067918  8.3951356e-03              
0.066     0.02067918  8.3951356e-03              
0.068     0.02067918  8.3951356e-03              
0.07     0.02067918  8.3951356e-03              
0.072     0.02067918  8.3951356e-03              
0.074     0.02067918  8.3951356e-03              
0.076     0.02067918  8.3951356e-03              
0.078     0.02067918  8.3951356e-03              
0.08     0.02067918  8.3951356e-03              
0.082     0.02067918  8.3951356e-03              
0.084     0.02067918  8.3951356e-03              
0.086     0.02067918  8.3951356e-03              
0.088     0.02067918  8.3951356e-03              
0.09     0.02067918  8.0000000e-03              
0.092     0.02067918  6.4000000e-03              
0.094     0.02067918  4.8000000e-03              
0.096     0.02067918  3.2000000e-03              
0.098     0.02067918  1.6000000e-03              
0.1     0.02067918  0.0000000e+00              
0.101     0.02067918  0.0000000e+00              
0.102     0.02067918  0.0000000e+00              
0     0.02211563  0.0000000e+00              
0.002     0.02211563  1.6000000e-03              
0.004     0.02211563  3.2000000e-03              
0.006     0.02211563  4.8000000e-03              
